Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,District Name,Floor Level,Address,Tenure Lease Period,Tenure From,Tenure Due,Tenure Remaining,Latitude,Longitude,Planning Area,Region
INTERNATIONAL PLAZA,ANSON ROAD,Office,3825000,"2,217.38","1,725",Jun-24,Strata,206,"18,568",99 yrs lease commencing from 1970,2," Anson, Tanjong Pagar",31 to 35,"INTERNATIONAL PLAZA, ANSON ROAD",99,1970,2069,45,1.27588674266836,103.845923793168,Downtown Core,Central
PLUS,CECIL STREET,Office,4152900,"1,270.15","3,270",Jun-24,Strata,118,"35,194",99 yrs lease commencing from 1989,1," Raffles Place, Cecil, Marina, People's Park",16 to 20,"PLUS, CECIL STREET",99,1989,2088,64,1.28305868511019,103.85047428531,Downtown Core,Central
PLUS,CECIL STREET,Office,4434120,"1,356.26","3,269",Jun-24,Strata,126,"35,191",99 yrs lease commencing from 1989,1," Raffles Place, Cecil, Marina, People's Park",16 to 20,"PLUS, CECIL STREET",99,1989,2088,64,1.28305868511019,103.85047428531,Downtown Core,Central
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,2155500,958,"2,250",May-24,Strata,89,"24,219",99 yrs lease commencing from 2011,14," Geylang, Eunos",11 to 15,"PAYA LEBAR SQUARE, PAYA LEBAR ROAD",99,2011,2110,86,1.31881486980278,103.892580778242,Geylang,East
MAPLETREE ANSON,ANSON ROAD,Office,775000000,"39,733.15","19,505",May-24,Land,"3,691.30","209,953",99 yrs lease commencing from 2007,2," Anson, Tanjong Pagar",01 to 05,"MAPLETREE ANSON, ANSON ROAD",99,2007,2106,82,1.27481626802236,103.845177360665,Downtown Core,Central
TELOK BLANGAH HOUSE,TELOK BLANGAH ROAD,Office,750000,365.98,"2,049",May-24,Strata,34,"22,059",Freehold,4," Telok Blangah, Harbourfront",01 to 05,"TELOK BLANGAH HOUSE, TELOK BLANGAH ROAD",Freehold,Freehold,Freehold,Freehold,1.26617727280392,103.823388742056,Bukit Merah,Central
111 SOMERSET,SOMERSET ROAD,Office,2200000,796.54,"2,762",May-24,Strata,74,"29,730",99 yrs lease commencing from 1975,9," Orchard, Cairnhill, River Valley",06 to 10,"111 SOMERSET, SOMERSET ROAD",99,1975,2074,50,1.30020625685959,103.837317132796,Orchard,Central
111 SOMERSET,SOMERSET ROAD,Office,3300000,"1,130.22","2,920",May-24,Strata,105,"31,429",99 yrs lease commencing from 1975,9," Orchard, Cairnhill, River Valley",06 to 10,"111 SOMERSET, SOMERSET ROAD",99,1975,2074,50,1.30020625685959,103.837317132796,Orchard,Central
WOODS SQUARE,WOODLANDS SQUARE,Office,2700000,979.52,"2,756",May-24,Strata,91,"29,670",99 yrs lease commencing from 2014,25," Kranji, Woodgrove",01 to 05,"WOODS SQUARE, WOODLANDS SQUARE",99,2014,2113,89,1.43475811538242,103.785365472646,Woodlands,North
LE SHANTIER,BALESTIER ROAD,Office,1350000,"1,011.82","1,334",May-24,Strata,94,"14,362",Freehold,12," Balestier, Toa Payoh, Serangoon",01 to 05,"LE SHANTIER, BALESTIER ROAD",Freehold,Freehold,Freehold,Freehold,1.32608927617256,103.846533689765,Novena,Central
WOODS SQUARE,WOODLANDS SQUARE,Office,1190000,559.73,"2,126",May-24,Strata,52,"22,885",99 yrs lease commencing from 2014,25," Kranji, Woodgrove",06 to 10,"WOODS SQUARE, WOODLANDS SQUARE",99,2014,2113,89,1.43475811538242,103.785365472646,Woodlands,North
THE CENTRAL,EU TONG SEN STREET,Office,4918014,"1,453.14","3,384",May-24,Strata,135,"36,430",99 yrs lease commencing from 2001,1," Raffles Place, Cecil, Marina, People's Park",16 to 20,"THE CENTRAL, EU TONG SEN STREET",99,2001,2100,76,1.28883856193458,103.846558025016,Singapore River,Central
THE CENTRAL,EU TONG SEN STREET,Office,4081985,"1,205.57","3,386",May-24,Strata,112,"36,446",99 yrs lease commencing from 2001,1," Raffles Place, Cecil, Marina, People's Park",16 to 20,"THE CENTRAL, EU TONG SEN STREET",99,2001,2100,76,1.28883856193458,103.846558025016,Singapore River,Central
SUNTEC TOWER TWO,TEMASEK BOULEVARD,Office,5300000,"1,388.56","3,817",May-24,Strata,129,"41,085",99 yrs lease commencing from 1989,1," Raffles Place, Cecil, Marina, People's Park",36 to 40,"SUNTEC TOWER TWO, TEMASEK BOULEVARD",99,1989,2088,64,1.29559492037457,103.858968011896,Downtown Core,Central
PARKLANE SHOPPING MALL,SELEGIE ROAD,Office,900000,764.24,"1,178",May-24,Strata,71,"12,676",99 yrs lease commencing from 1974,7," Middle Road, Golden Mile",06 to 10,"PARKLANE SHOPPING MALL, SELEGIE ROAD",99,1974,2073,49,1.30065102658844,103.84944198056,Rochor,Central
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1695000,721.19,"2,350",May-24,Strata,67,"25,299",99 yrs lease commencing from 2011,14," Geylang, Eunos",11 to 15,"PAYA LEBAR SQUARE, PAYA LEBAR ROAD",99,2011,2110,86,1.31881486980278,103.892580778242,Geylang,East
CONNEXION,FARRER PARK STATION ROAD,Office,11625000,"2,325.02","5,000",May-24,Strata,216,"53,819",99 yrs lease commencing from 2007,8, Little India,06 to 10,"CONNEXION, FARRER PARK STATION ROAD",99,2007,2106,82,1.31247326486217,103.853929522508,Rochor,Central
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1215000,538.2,"2,258",May-24,Strata,50,"24,300",99 yrs lease commencing from 2011,14," Geylang, Eunos",01 to 05,"PAYA LEBAR SQUARE, PAYA LEBAR ROAD",99,2011,2110,86,1.31881486980278,103.892580778242,Geylang,East
TEAMBUILD CENTRE,GEYLANG ROAD,Office,700000,"1,033.34",677,May-24,Strata,96,"7,292",99 yrs lease commencing from 2001,14," Geylang, Eunos",01 to 05,"TEAMBUILD CENTRE, GEYLANG ROAD",99,2001,2100,76,1.31478597560553,103.889462295301,Geylang,East
ICON@CHANGI,CHANGI ROAD,Office,740000,430.56,"1,719",May-24,Strata,40,"18,500",Freehold,14," Geylang, Eunos",01 to 05,"ICON@CHANGI, CHANGI ROAD",Freehold,Freehold,Freehold,Freehold,1.31724236939499,103.904690327616,Geylang,East
UPPER SERANGOON SHOPPING CENTRE,UPPER SERANGOON ROAD,Office,550000,204.52,"2,689",May-24,Strata,19,"28,947",Freehold,19," Serangoon Garden, Hougang, Punggol",01 to 05,"UPPER SERANGOON SHOPPING CENTRE, UPPER SERANGOON ROAD",Freehold,Freehold,Freehold,Freehold,1.35348082277147,103.878828134896,Hougang,North
WILMER PLACE,ARMENIAN STREET,Office,26500000,"7,649.97","3,464",May-24,Land,710.7,"37,287",99 yrs lease commencing from 1947,6," High Street, Beach Road (part)",01 to 05,"WILMER PLACE, ARMENIAN STREET",99,1947,2046,22,1.29436707678809,103.849678556536,Museum,Central
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,2797706,"1,356.26","2,063",May-24,Strata,126,"22,204",99 yrs lease commencing from 2011,14," Geylang, Eunos",06 to 10,"PAYA LEBAR SQUARE, PAYA LEBAR ROAD",99,2011,2110,86,1.31881486980278,103.892580778242,Geylang,East
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,2731093,"1,323.97","2,063",May-24,Strata,123,"22,204",99 yrs lease commencing from 2011,14," Geylang, Eunos",06 to 10,"PAYA LEBAR SQUARE, PAYA LEBAR ROAD",99,2011,2110,86,1.31881486980278,103.892580778242,Geylang,East
NEW WORLD CENTRE,JALAN BERSEH,Office,11587935,"9,235.51","1,255",May-24,Strata,858,"13,506",99 yrs lease commencing from 1994,8, Little India,01 to 05,"NEW WORLD CENTRE, JALAN BERSEH",99,1994,2093,69,1.30730464109303,103.857706092553,Rochor,Central
NEW WORLD CENTRE,JALAN BERSEH,Office,1515864,"1,334.74","1,136",May-24,Strata,124,"12,225",99 yrs lease commencing from 1994,8, Little India,01 to 05,"NEW WORLD CENTRE, JALAN BERSEH",99,1994,2093,69,1.30730464109303,103.857706092553,Rochor,Central
NEW WORLD CENTRE,JALAN BERSEH,Office,7205642,"5,737.21","1,256",May-24,Strata,533,"13,519",99 yrs lease commencing from 1994,8, Little India,01 to 05,"NEW WORLD CENTRE, JALAN BERSEH",99,1994,2093,69,1.30730464109303,103.857706092553,Rochor,Central
INTERNATIONAL PLAZA,ANSON ROAD,Office,890000,462.85,"1,923",May-24,Strata,43,"20,698",99 yrs lease commencing from 1970,2," Anson, Tanjong Pagar",16 to 20,"INTERNATIONAL PLAZA, ANSON ROAD",99,1970,2069,45,1.27588674266836,103.845923793168,Downtown Core,Central
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,3390000,"1,485.43","2,282",May-24,Strata,138,"24,565",999 yrs lease commencing from 1829,6," High Street, Beach Road (part)",16 to 20,"PENINSULA PLAZA, NORTH BRIDGE ROAD",999,1829,2828,804,1.29231742228801,103.850803179769,Downtown Core,Central
NEW WORLD CENTRE,JALAN BERSEH,Office,4210732,"4,434.77",949,May-24,Strata,412,"10,220",99 yrs lease commencing from 1994,8, Little India,01 to 05,"NEW WORLD CENTRE, JALAN BERSEH",99,1994,2093,69,1.30730464109303,103.857706092553,Rochor,Central
HAVELOCK2,HAVELOCK ROAD,Office,698000,430.56,"1,621",Apr-24,Strata,40,"17,450",99 yrs lease commencing from 1983,1," Raffles Place, Cecil, Marina, People's Park",06 to 10,"HAVELOCK2, HAVELOCK ROAD",99,1983,2082,58,1.28715061616661,103.845153736863,Singapore River,Central
THE ADELPHI,COLEMAN STREET,Office,1520000,505.91,"3,004",Apr-24,Strata,47,"32,340",999 yrs lease commencing from 1828,6," High Street, Beach Road (part)",06 to 10,"THE ADELPHI, COLEMAN STREET",999,1828,2827,803,1.29118503658447,103.851184338699,Downtown Core,Central
FORTUNE CENTRE,MIDDLE ROAD,Office,2440000,"1,668.42","1,462",Apr-24,Strata,155,"15,742",99 yrs lease commencing from 1980,7," Middle Road, Golden Mile",06 to 10,"FORTUNE CENTRE, MIDDLE ROAD",99,1980,2079,55,1.30042241913975,103.852286627386,Rochor,Central
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Office,600000,333.68,"1,798",Apr-24,Strata,31,"19,355",99 yrs lease commencing from 1980,3," Queenstown, Tiong Bahru",01 to 05,"CONCORDE SHOPPING CENTRE, OUTRAM ROAD",99,1980,2079,55,1.28888605616528,103.834206802698,Bukit Merah,Central
HIGH STREET PLAZA,HIGH STREET,Office,825000,322.92,"2,555",Apr-24,Strata,30,"27,500",999 yrs lease commencing from 1827,6," High Street, Beach Road (part)",01 to 05,"HIGH STREET PLAZA, HIGH STREET",999,1827,2826,802,1.2904540746831,103.849358869172,Downtown Core,Central
INTERNATIONAL PLAZA,ANSON ROAD,Office,380000,161.46,"2,354",Apr-24,Strata,15,"25,333",99 yrs lease commencing from 1970,2," Anson, Tanjong Pagar",31 to 35,"INTERNATIONAL PLAZA, ANSON ROAD",99,1970,2069,45,1.27588674266836,103.845923793168,Downtown Core,Central
FORTUNE CENTRE,MIDDLE ROAD,Office,2003000,"1,313.21","1,525",Apr-24,Strata,122,"16,418",99 yrs lease commencing from 1980,7," Middle Road, Golden Mile",16 to 20,"FORTUNE CENTRE, MIDDLE ROAD",99,1980,2079,55,1.30042241913975,103.852286627386,Rochor,Central
THE CENTRAL,EU TONG SEN STREET,Office,1760000,645.84,"2,725",Apr-24,Strata,60,"29,333",99 yrs lease commencing from 2001,1," Raffles Place, Cecil, Marina, People's Park",11 to 15,"THE CENTRAL, EU TONG SEN STREET",99,2001,2100,76,1.28883856193458,103.846558025016,Singapore River,Central
PS100,PECK SEAH STREET,Office,1268000,441.32,"2,873",Apr-24,Strata,41,"30,927",99 yrs lease commencing from 2011,2," Anson, Tanjong Pagar",06 to 10,"PS100, PECK SEAH STREET",99,2011,2110,86,1.27588132600635,103.844264781517,Outram,Central
WOODS SQUARE,WOODLANDS SQUARE,Office,1564212,753.48,"2,076",Apr-24,Strata,70,"22,346",99 yrs lease commencing from 2014,25," Kranji, Woodgrove",01 to 05,"WOODS SQUARE, WOODLANDS SQUARE",99,2014,2113,89,1.43475811538242,103.785365472646,Woodlands,North
JALAN BESAR PLAZA,KITCHENER ROAD,Office,690000,301.39,"2,289",Apr-24,Strata,28,"24,643",Freehold,8, Little India,01 to 05,"JALAN BESAR PLAZA, KITCHENER ROAD",Freehold,Freehold,Freehold,Freehold,1.30865766748104,103.858066663176,Kallang,Central
HEXACUBE,CHANGI ROAD,Office,800000,452.09,"1,770",Apr-24,Strata,42,"19,048",Freehold,14," Geylang, Eunos",01 to 05,"HEXACUBE, CHANGI ROAD",Freehold,Freehold,Freehold,Freehold,1.3167232592555,103.902443640278,Geylang,East
WIS@CHANGI,CHANGI ROAD,Office,620000,484.38,"1,280",Apr-24,Strata,45,"13,778",Freehold,14," Geylang, Eunos",01 to 05,"WIS@CHANGI, CHANGI ROAD",Freehold,Freehold,Freehold,Freehold,1.31647122783973,103.901232839024,Geylang,East
THE PLAZA,BEACH ROAD,Office,800000,333.68,"2,397",Apr-24,Strata,31,"25,806",99 yrs lease commencing from 1968,7," Middle Road, Golden Mile",B1 to B5,"THE PLAZA, BEACH ROAD",99,1968,2067,43,1.29962022781589,103.860647265508,Downtown Core,Central
WOODS SQUARE,WOODLANDS SQUARE,Office,1000000,570.49,"1,753",Apr-24,Strata,53,"18,868",99 yrs lease commencing from 2014,25," Kranji, Woodgrove",01 to 05,"WOODS SQUARE, WOODLANDS SQUARE",99,2014,2113,89,1.43475811538242,103.785365472646,Woodlands,North
THE CENTRAL,EU TONG SEN STREET,Office,1390000,635.08,"2,189",Apr-24,Strata,59,"23,559",99 yrs lease commencing from 2001,1," Raffles Place, Cecil, Marina, People's Park",01 to 05,"THE CENTRAL, EU TONG SEN STREET",99,2001,2100,76,1.28883856193458,103.846558025016,Singapore River,Central
VISION EXCHANGE,VENTURE DRIVE,Office,880000,441.32,"1,994",Apr-24,Strata,41,"21,463",99 yrs lease commencing from 2013,22, Jurong,06 to 10,"VISION EXCHANGE, VENTURE DRIVE",99,2013,2112,88,1.33015172071471,103.744574631833,Jurong East,West
,ARMENIAN STREET,Office,2770000,"1,151.75","2,405",Apr-24,Strata,107,"25,888",99 yrs lease commencing from 2007,6," High Street, Beach Road (part)",01 to 05,", ARMENIAN STREET",99,2007,2106,82,1.29446415491593,103.849494715465,Museum,Central
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1250000,538.2,"2,323",Apr-24,Strata,50,"25,000",99 yrs lease commencing from 2011,14," Geylang, Eunos",06 to 10,"PAYA LEBAR SQUARE, PAYA LEBAR ROAD",99,2011,2110,86,1.31881486980278,103.892580778242,Geylang,East
TAHIR BUILDING,ROBINSON ROAD,Office,4523500,"1,140.98","3,965",Apr-24,Strata,106,"42,675",Freehold,1," Raffles Place, Cecil, Marina, People's Park",06 to 10,"TAHIR BUILDING, ROBINSON ROAD",Freehold,Freehold,Freehold,Freehold,1.27840697711555,103.848235943353,Downtown Core,Central
THE OCTAGON,CECIL STREET,Office,3950000,"1,302.44","3,033",Apr-24,Strata,121,"32,645",Freehold,1," Raffles Place, Cecil, Marina, People's Park",01 to 05,"THE OCTAGON, CECIL STREET",Freehold,Freehold,Freehold,Freehold,1.28055040055461,103.849195617639,Downtown Core,Central
SOLITAIRE ON CECIL,CECIL STREET,Office,5369700,"1,280.92","4,192",Apr-24,Strata,119,"45,124",Freehold,1," Raffles Place, Cecil, Marina, People's Park",06 to 10,"SOLITAIRE ON CECIL, CECIL STREET",Freehold,Freehold,Freehold,Freehold,1.28055776022337,103.84850807038,Downtown Core,Central
SOLITAIRE ON CECIL,CECIL STREET,Office,5780800,"1,377.79","4,196",Apr-24,Strata,128,"45,163",Freehold,1," Raffles Place, Cecil, Marina, People's Park",06 to 10,"SOLITAIRE ON CECIL, CECIL STREET",Freehold,Freehold,Freehold,Freehold,1.28055776022337,103.84850807038,Downtown Core,Central
SOLITAIRE ON CECIL,CECIL STREET,Office,7396100,"1,754.53","4,215",Apr-24,Strata,163,"45,375",Freehold,1," Raffles Place, Cecil, Marina, People's Park",06 to 10,"SOLITAIRE ON CECIL, CECIL STREET",Freehold,Freehold,Freehold,Freehold,1.28055776022337,103.84850807038,Downtown Core,Central
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1268000,548.96,"2,310",Apr-24,Strata,51,"24,863",99 yrs lease commencing from 2011,14," Geylang, Eunos",06 to 10,"PAYA LEBAR SQUARE, PAYA LEBAR ROAD",99,2011,2110,86,1.31881486980278,103.892580778242,Geylang,East
SOLITAIRE ON CECIL,CECIL STREET,Office,10281750,"2,529.54","4,065",Apr-24,Strata,235,"43,752",Freehold,1," Raffles Place, Cecil, Marina, People's Park",06 to 10,"SOLITAIRE ON CECIL, CECIL STREET",Freehold,Freehold,Freehold,Freehold,1.28055776022337,103.84850807038,Downtown Core,Central
SOLITAIRE ON CECIL,CECIL STREET,Office,8066800,"1,980.58","4,073",Apr-24,Strata,184,"43,841",Freehold,1," Raffles Place, Cecil, Marina, People's Park",06 to 10,"SOLITAIRE ON CECIL, CECIL STREET",Freehold,Freehold,Freehold,Freehold,1.28055776022337,103.84850807038,Downtown Core,Central
SOLITAIRE ON CECIL,CECIL STREET,Office,4519100,"1,108.69","4,076",Apr-24,Strata,103,"43,875",Freehold,1," Raffles Place, Cecil, Marina, People's Park",06 to 10,"SOLITAIRE ON CECIL, CECIL STREET",Freehold,Freehold,Freehold,Freehold,1.28055776022337,103.84850807038,Downtown Core,Central
SOLITAIRE ON CECIL,CECIL STREET,Office,5187900,"1,270.15","4,084",Apr-24,Strata,118,"43,965",Freehold,1," Raffles Place, Cecil, Marina, People's Park",06 to 10,"SOLITAIRE ON CECIL, CECIL STREET",Freehold,Freehold,Freehold,Freehold,1.28055776022337,103.84850807038,Downtown Core,Central
SOLITAIRE ON CECIL,CECIL STREET,Office,4878300,"1,162.51","4,196",Apr-24,Strata,108,"45,169",Freehold,1," Raffles Place, Cecil, Marina, People's Park",06 to 10,"SOLITAIRE ON CECIL, CECIL STREET",Freehold,Freehold,Freehold,Freehold,1.28055776022337,103.84850807038,Downtown Core,Central
WOODS SQUARE,WOODLANDS SQUARE,Office,1211000,559.73,"2,164",Apr-24,Strata,52,"23,288",99 yrs lease commencing from 2014,25," Kranji, Woodgrove",06 to 10,"WOODS SQUARE, WOODLANDS SQUARE",99,2014,2113,89,1.43475811538242,103.785365472646,Woodlands,North
EVERSHINE AND CENTURY COMPLEX,BEACH ROAD,Office,4900000,"2,529.54","1,937",Apr-24,Strata,235,"20,851",999 yrs lease commencing from 1827,7," Middle Road, Golden Mile",-,"EVERSHINE AND CENTURY COMPLEX, BEACH ROAD",999,1827,2826,802,1.29630550856942,103.855866866815,Downtown Core,Central
CHINATOWN POINT,NEW BRIDGE ROAD,Office,1468800,721.19,"2,037",Apr-24,Strata,67,"21,922",99 yrs lease commencing from 1980,1," Raffles Place, Cecil, Marina, People's Park",11 to 15,"CHINATOWN POINT, NEW BRIDGE ROAD",99,1980,2079,55,1.28499882847401,103.844697081142,Outram,Central
SBF CENTER,ROBINSON ROAD,Office,2338000,667.37,"3,503",Mar-24,Strata,62,"37,710",99 yrs lease commencing from 2011,1," Raffles Place, Cecil, Marina, People's Park",26 to 30,"SBF CENTER, ROBINSON ROAD",99,2011,2110,86,1.27812790985944,103.847854628243,Downtown Core,Central
THE CENTRAL,EU TONG SEN STREET,Office,2800000,925.7,"3,025",Mar-24,Strata,86,"32,558",99 yrs lease commencing from 2001,1," Raffles Place, Cecil, Marina, People's Park",16 to 20,"THE CENTRAL, EU TONG SEN STREET",99,2001,2100,76,1.28883856193458,103.846558025016,Singapore River,Central
